Day,Goal,Tasks,Time Allocation,Deliverable,Status
1,Python Basics I,"- [ ] Learn variables, data types, operators
- [ ] Solve 5 coding problems (loops & strings)
- [ ] Push notebook to GitHub",1h Learn | 2h Build | 1h Notes,python_basics.ipynb,Not Started
2,Python Basics II,"- [ ] Learn conditionals, functions
- [ ] Solve 5 coding problems (functions & logic)
- [ ] Push notebook to GitHub",1h Learn | 2h Build | 1h Notes,python_functions.ipynb,Not Started
3,Python OOP,"- [ ] Learn classes & objects
- [ ] Build a small BankAccount class
- [ ] Push notebook to GitHub",1h Learn | 2h Build | 1h Notes,oop_basics.ipynb,Not Started
4,Python File Handling,"- [ ] Learn file read/write
- [ ] Build a file-based todo list app
- [ ] Push project to GitHub",1h Learn | 2h Build | 1h Notes,todo_cli.py,Not Started
5,Git + GitHub,"- [ ] Learn git init/add/commit/push
- [ ] Create repo for roadmap projects
- [ ] Push previous projects",1h Learn | 2h Build | 1h Notes,repo_setup_complete,Not Started
6,Mini Project: Expense Tracker,"- [ ] Plan CLI expense tracker
- [ ] Code expense tracker with add/remove/display
- [ ] Push with README",1h Learn | 2h Build | 1h Notes,expense_tracker.py,Not Started
7,Review + Practice,"- [ ] Revise Python basics
- [ ] Solve 10 coding problems
- [ ] Document learnings",1h Learn | 2h Build | 1h Notes,notes_week1.md,Not Started
8,NumPy Basics,"- [ ] Learn arrays, slicing, broadcasting
- [ ] Practice 10 array problems
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,numpy_basics.ipynb,Not Started
9,Pandas Basics I,"- [ ] Learn DataFrame creation, indexing
- [ ] Load CSV + explore
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,pandas_basics.ipynb,Not Started
10,Pandas Basics II,"- [ ] Learn groupby, merge, joins
- [ ] Analyze dataset (sales/weather)
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,pandas_advanced.ipynb,Not Started
11,Matplotlib Basics,"- [ ] Learn line/bar/scatter plots
- [ ] Visualize dataset
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,matplotlib_basics.ipynb,Not Started
12,Mini Project: Data Analyzer,"- [ ] Load dataset
- [ ] Perform cleaning, analysis, plotting
- [ ] Push with README",1h Learn | 2h Build | 1h Notes,data_analyzer.ipynb,Not Started
13,Seaborn Basics,"- [ ] Learn heatmaps, pairplots
- [ ] Visualize dataset
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,seaborn_basics.ipynb,Not Started
14,Review + Practice,"- [ ] Revise NumPy/Pandas
- [ ] Analyze Kaggle dataset
- [ ] Document learnings",1h Learn | 2h Build | 1h Notes,notes_week2.md,Not Started
15,ML Intro,"- [ ] Understand supervised vs unsupervised
- [ ] Implement Linear Regression
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,linear_regression.ipynb,Not Started
16,Logistic Regression,"- [ ] Learn classification
- [ ] Implement spam/not spam classifier
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,logistic_regression.ipynb,Not Started
17,Decision Trees,"- [ ] Learn splits, entropy
- [ ] Train tree on Iris dataset
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,decision_tree.ipynb,Not Started
18,Model Evaluation,"- [ ] Learn accuracy, precision, recall, F1
- [ ] Evaluate models
- [ ] Push notebook",1h Learn | 2h Build | 1h Notes,model_evaluation.ipynb,Not Started
